Price,Close,High,Low,Open,Volume
Ticker,6861.T,6861.T,6861.T,6861.T,6861.T
Date,,,,,
2013-06-01,7575.4140625,7814.763637934439,6924.3832173183255,7527.544147413112,14130400
2013-07-01,7659.18701171875,8329.36587524414,7515.577255249023,7599.349613189697,10232800
2013-08-01,7778.86181640625,8329.365883413462,7551.479701772836,7635.252059795673,9934800
2013-09-01,8915.7724609375,9095.284658137583,7766.894398856963,7826.731797923658,8522400
2013-10-01,10061.2822265625,10216.992546735491,8192.758384486608,8971.309985351561,15776400
2013-11-01,9857.6591796875,10085.235758562425,9270.75116048375,10061.28032920717,11266000
2013-12-01,10779.947265625,10863.791299913195,9534.264470486112,9833.707450086806,11310000
2014-01-01,10183.455078125,11067.410600079393,10044.513559769024,10779.94538968772,12106000
2014-02-01,10461.3388671875,10630.224690438408,9153.372065840036,9941.50590767761,11984400
2014-03-01,10197.8271484375,10417.019345778826,8976.100146862887,10414.623802638485,13097200
2014-04-01,9442.1591796875,10511.399498118533,9098.132305932224,10308.819213572744,11265200
2014-05-01,9480.517578125,9828.140551655946,8653.414641103094,9518.875975204277,12901600
2014-06-01,10595.30859375,10746.344783682402,9528.4656648624,9542.850063903581,12418800
2014-07-01,10847.0341796875,11104.754629309868,10166.172712778172,10734.356401713068,12003200
2014-08-01,10674.4228515625,10912.964137071871,10432.285466271582,10692.403350470242,9228000
2014-09-01,11427.2060546875,11561.460442406476,10627.673227825384,10668.429024097215,9177200
2014-10-01,12609.255859375,12638.087999297351,10249.825742395913,11454.768923317513,14960000
2014-11-01,13171.4833984375,13935.535153399762,12570.813779756476,12609.256635352061,14824800
2014-12-01,12928.8134765625,13695.26794581049,12337.754544164363,13282.00722884919,10061200
2015-01-01,13332.4619140625,13534.286891676711,12253.659355148451,12928.811958834081,10296800
2015-02-01,14680.3662109375,14995.117106785752,13094.59833872494,13217.134947032273,12993200
2015-03-01,15761.57421875,16693.81366949314,14233.470376810214,14776.475830078125,16531600
2015-04-01,15467.5107421875,16078.703605988936,14774.504660396897,15785.13852967486,14266800
2015-05-01,16146.08203125,16434.83461601155,14644.56859048994,15347.19988007638,12449200
2015-06-01,15895.828125,16588.834255790192,15684.076251702998,16028.173045810627,12851600
2015-07-01,15050.388671875,16880.515934375,14518.2069284375,15784.8476390625,15498000
2015-08-01,13579.0615234375,15235.808167900172,12461.720763218489,14689.17809770682,21747600
2015-09-01,12810.888671875,13896.924534847862,12208.873226768092,13533.30720600329,17653600
2015-10-01,15310.4560546875,15445.307507827245,12883.129898172087,13148.016681125157,17800800
2015-11-01,16066.58984375,16454.28783008749,15014.266737976806,15221.360072293728,14879600
2015-12-01,16153.279296875,16516.896645388435,15129.852984833873,16100.30193483993,13499600
2016-01-01,13465.880859375,16153.277683241684,12432.822402888612,16153.277683241684,19599600
2016-02-01,14065.48828125,14443.553965234978,12160.711491236518,14159.402686825886,18958400
2016-03-01,14783.0927734375,15168.382697488649,13689.832613942366,13969.167808879449,13327600
2016-04-01,16212.9072265625,16756.073415659666,13900.226296984347,14877.925437359245,17203600
2016-05-01,16995.06640625,16995.06640625,15561.107678222656,15643.18612393466,11030800
2016-06-01,16690.89453125,17110.943077451546,15235.209052172222,16900.918804350775,16562800
2016-07-01,17616.3203125,18302.419457967637,16616.161699036616,16862.577589310204,15573200
2016-08-01,17522.1015625,18316.91355947539,16947.131181709294,17055.844068833587,10948800
2016-09-01,17746.76953125,17901.383368712566,17092.076563244453,17522.09629868721,10689600
2016-10-01,18616.478515625,18816.993402310294,17828.914020933364,17884.478387123265,11184400
2016-11-01,18899.1328125,19254.261602406365,17456.87507390068,18771.093180765052,12488000
2016-12-01,19375.048828125,19420.94981662056,17297.42513832606,19048.91022565656,24584400
2017-01-01,21196.59765625,21500.993747506836,19375.052792697174,19375.052792697174,16466600
2017-02-01,20998.498046875,21684.597154711228,20597.468286660867,21162.775298047054,12622400
2017-03-01,21539.646484375,22056.636653470585,21022.65631527941,21143.448410862493,11680200
2017-04-01,21681.798828125,21875.38631766183,20718.70106767927,21778.592572893416,10728600
2017-05-01,24348.46484375,24362.983904479726,21749.5529731291,21865.705458966906,10681800
2017-06-01,23879.017578125,25229.29035970118,23172.423219307355,24348.467254873707,11593600
2017-07-01,24692.083984375,25384.159250891196,23215.97939495235,23690.268738438972,10342600
2017-08-01,27712.05078125,28234.73703419708,24595.292013676648,24643.688888949528,13141200
2017-09-01,28917.1328125,29555.9715625,26642.4796875,27876.6,13188200
2017-10-01,30433.416015625,30743.41738837687,28486.219893027315,29019.03475244459,18303200
2017-11-01,31440.91796875,33862.80350015887,30210.600118794293,30573.882948505623,17179600
2017-12-01,30573.884765625,31605.608063324322,29513.09883982147,31450.607380101887,12514600
2018-01-01,32177.177734375,35068.909648784436,30573.88918551483,30573.88918551483,12828400
2018-02-01,31615.296875,33344.523316607934,29256.38013252643,32399.987865309482,15369800
2018-03-01,31988.265625,32874.67577178604,29963.56922414446,31130.91810597744,14818200
2018-04-01,32462.83203125,32467.67940052449,29331.43147993038,31934.468780330746,13349200
2018-05-01,32394.966796875,33466.235338265,31609.693024453372,32462.82996239292,9748000
2018-06-01,30325.140625,33204.47782628676,30077.9248046875,32656.72512637868,10989000
2018-07-01,28555.8515625,30620.830813157783,27581.5303667671,30538.42553789679,14306600
2018-08-01,30485.10546875,31057.095045043927,28192.29979428367,28914.557818587018,16447200
2018-09-01,31982.939453125,31982.939453125,28114.739137333283,30344.528793052817,12302800
2018-10-01,26849.25390625,33063.90942162071,24654.70367738472,32044.3175011302,21380600
2018-11-01,29908.021484375,30747.970789049818,26067.559634676847,27140.558457411727,20277000
2018-12-01,27033.75,30680.004714439656,24950.86947737069,30247.891971982757,17916200
2019-01-01,27121.142578125,27519.268910277926,24868.330162040147,27033.74899301826,16437000
2019-02-01,31524.8046875,33054.1922551209,27431.87224462883,27567.817806195133,16154400
2019-03-01,33486.3046875,34753.51151995433,31675.31561276642,31801.550776152675,16126600
2019-04-01,33609.62109375,35919.31004333496,33137.95829772949,33804.12121582031,14851400
2019-05-01,29909.2578125,33677.69787178914,29909.2578125,33609.62282555682,15023800
2019-06-01,32155.732421875,32170.3199309126,28455.36762933805,29024.280481804308,13988600
2019-07-01,30696.986328125,33351.913388976616,30006.510792152603,32870.52551530572,14709800
2019-08-01,30585.14453125,31144.332388339626,28679.043314040144,30390.644407044914,15767600
2019-09-01,32530.146484375,32982.35928303671,30040.54484012986,30419.82009062033,12671600
2019-10-01,33513.7109375,33513.7109375,31069.08976769108,32617.67449278916,14532600
2019-11-01,36464.79296875,37726.06184948,35096.389279618226,35924.24916272286,13790400
2019-12-01,37487.4375,39464.56137957911,36406.350058456745,36688.79632696804,9601100
2020-01-01,36396.61328125,39415.86672443638,35987.55313733443,37487.44033169153,9277000
2020-02-01,33513.7109375,38003.63268762714,33221.525140311685,35062.29566259808,9565800
2020-03-01,33922.7734375,35335.004889822,28152.10353749462,33036.47645707723,23182200
2020-04-01,37883.7890625,38567.7883491585,32499.737534659533,33828.650434453186,12371200
2020-05-01,43336.24609375,43658.7029417982,37473.39431105552,38108.53658751409,11274200
2020-06-01,44000.70703125,45671.61995648734,41157.22363216189,43140.82201709277,12020800
2020-07-01,43209.2109375,45837.72241244064,41919.38374533582,44440.409620929444,9735600
2020-08-01,42681.5625,45261.21737637363,40824.99270260989,42349.33422046703,10000500
2020-09-01,47860.41015625,49052.523271615966,42222.30140570769,42779.27228747703,9683300
2020-10-01,46271.9375,49748.45343915344,46125.04246031746,47966.12695767196,8086200
2020-11-01,52186.9140625,53038.90534105836,46624.48824386611,47525.44453843357,11524800
2020-12-01,56799.41796875,57866.85530643858,50600.4470076778,52549.25462419181,10567600
2021-01-01,54977.9296875,57553.489984580956,54380.55638665613,56799.42860482721,13099700
2021-02-01,49513.42578125,58082.30385850351,49513.42578125,54576.40859946722,10027800
2021-03-01,49229.43359375,52137.9559286105,46174.0161914723,50385.00812409862,18240500
2021-04-01,51535.171875,52634.17020896801,48630.67627808454,50073.11159141755,10855500
2021-05-01,52859.85546875,53880.353885076336,50455.79669951968,51535.17002448023,10311700
2021-06-01,55018.60546875,56529.72821570693,52369.234418890446,53183.67070458801,8749800
2021-07-01,59601.03125,60935.52915088904,53919.60268665624,55342.41294863352,8813200
2021-08-01,64889.953125,65341.327364187964,60170.1485804476,61308.39666187812,7669600
2021-09-01,65743.6484375,74780.94697644589,62976.527712220144,65154.89934701492,17907500
2021-10-01,67314.484375,68247.90665140125,60259.77706493578,65162.70039045395,12699600
2021-11-01,69102.7265625,73779.66355151607,67727.15685984821,68778.48513258922,9590900
2021-12-01,71018.6875,73406.28310908965,69014.28624792474,70556.88917231599,8238100
