Price,Close,High,Low,Open,Volume
Ticker,8058.T,8058.T,8058.T,8058.T,8058.T
Date,,,,,
2013-06-03,385.243896484375,396.3004183726922,381.77519696718804,384.1599502144043,39623400
2013-06-04,390.0133972167969,392.39811073251457,378.7400544840229,382.85917727711075,33241800
2013-06-05,380.69122314453125,393.9157173871691,380.69122314453125,390.013415419755,32000100
2013-06-06,373.3202819824219,383.9432036034886,373.3202819824219,379.39051723784934,41203200
2013-06-07,368.3339538574219,373.3202421001411,362.26371925048534,371.1523096754361,45114600
2013-06-10,378.0895690917969,379.39033600346164,370.0681863686163,378.3063900412449,27694500
2013-06-11,378.7401428222656,388.06233683672843,376.7889914745328,378.956963880642,32198100
2013-06-12,372.8866882324219,374.1874557956702,367.6836179794287,372.8866882324219,32482200
2013-06-13,368.3339538574219,378.740093010039,366.81640512975537,372.2362560396533,40334100
2013-06-14,370.0683898925781,379.39054465426466,369.41800607905867,376.57222802777284,45564600
2013-06-17,373.75390625,373.97068761942614,364.4317119205194,368.5508358135558,25862400
2013-06-18,372.4531555175781,375.27147223293065,367.6836476038691,372.8867182760761,23876100
2013-06-19,386.9783020019531,389.1462344393416,376.35538145359766,376.5721627884553,29800500
2013-06-20,385.46075439453125,385.4607543945313,377.43932892978245,381.77523351353125,38617500
2013-06-21,375.0545349121094,388.06220618424885,373.1033842212884,375.0545349121094,77878800
2013-06-24,368.9844055175781,382.2089029240254,367.68363788391304,381.12491666387854,34053900
2013-06-25,365.9491882324219,370.93543607215975,360.96290069641907,363.56443511585275,30836100
2013-06-26,363.34765625,371.3690408649657,362.6972726407794,370.9354385600636,19338600
2013-06-27,364.21490478515625,367.9004259823356,361.6133697509766,367.6836049319711,29574600
2013-06-28,368.3339538574219,375.0546118576675,367.6835701603833,369.8515422813589,33957000
2013-07-01,371.80267333984375,376.1385379556386,368.55075502986335,375.0545916498241,22745400
2013-07-02,384.5935363769531,384.8103574012281,374.62099984465965,376.57215088551726,27426600
2013-07-03,385.243896484375,385.8942801248643,381.1248133266988,385.8942801248643,17162100
2013-07-04,383.292724609375,384.5934918192442,381.7751760966159,382.64234100444037,11616600
